CNX	topology	quartet	samples	quartet_id
ECA2852	O_CB1CB2_CNX	(PX506,(QX1410,QG4232),ECA2852)	PX506,QX1410,QG4232,ECA2852	quartet_01
ECA2852	O_CB1CNX_CB2	(PX506,(QX1410,ECA2852),QG4232)	PX506,QX1410,QG4232,ECA2852	quartet_01
ECA2852	O_CB2CNX_CB1	(PX506,(QG4232,ECA2852),QX1410)	PX506,QX1410,QG4232,ECA2852	quartet_01
ECA2857	O_CB1CB2_CNX	(PX506,(QX1410,QG4232),ECA2857)	PX506,QX1410,QG4232,ECA2857	quartet_02
ECA2857	O_CB1CNX_CB2	(PX506,(QX1410,ECA2857),QG4232)	PX506,QX1410,QG4232,ECA2857	quartet_02
ECA2857	O_CB2CNX_CB1	(PX506,(QG4232,ECA2857),QX1410)	PX506,QX1410,QG4232,ECA2857	quartet_02
EG5268	O_CB1CB2_CNX	(PX506,(QX1410,QG4232),EG5268)	PX506,QX1410,QG4232,EG5268	quartet_03
EG5268	O_CB1CNX_CB2	(PX506,(QX1410,EG5268),QG4232)	PX506,QX1410,QG4232,EG5268	quartet_03
EG5268	O_CB2CNX_CB1	(PX506,(QG4232,EG5268),QX1410)	PX506,QX1410,QG4232,EG5268	quartet_03
JU1418	O_CB1CB2_CNX	(PX506,(QX1410,QG4232),JU1418)	PX506,QX1410,QG4232,JU1418	quartet_04
JU1418	O_CB1CNX_CB2	(PX506,(QX1410,JU1418),QG4232)	PX506,QX1410,QG4232,JU1418	quartet_04
JU1418	O_CB2CNX_CB1	(PX506,(QG4232,JU1418),QX1410)	PX506,QX1410,QG4232,JU1418	quartet_04
JU1419	O_CB1CB2_CNX	(PX506,(QX1410,QG4232),JU1419)	PX506,QX1410,QG4232,JU1419	quartet_05
JU1419	O_CB1CNX_CB2	(PX506,(QX1410,JU1419),QG4232)	PX506,QX1410,QG4232,JU1419	quartet_05
JU1419	O_CB2CNX_CB1	(PX506,(QG4232,JU1419),QX1410)	PX506,QX1410,QG4232,JU1419	quartet_05
JU1420	O_CB1CB2_CNX	(PX506,(QX1410,QG4232),JU1420)	PX506,QX1410,QG4232,JU1420	quartet_06
JU1420	O_CB1CNX_CB2	(PX506,(QX1410,JU1420),QG4232)	PX506,QX1410,QG4232,JU1420	quartet_06
JU1420	O_CB2CNX_CB1	(PX506,(QG4232,JU1420),QX1410)	PX506,QX1410,QG4232,JU1420	quartet_06
JU1422	O_CB1CB2_CNX	(PX506,(QX1410,QG4232),JU1422)	PX506,QX1410,QG4232,JU1422	quartet_07
JU1422	O_CB1CNX_CB2	(PX506,(QX1410,JU1422),QG4232)	PX506,QX1410,QG4232,JU1422	quartet_07
JU1422	O_CB2CNX_CB1	(PX506,(QG4232,JU1422),QX1410)	PX506,QX1410,QG4232,JU1422	quartet_07
JU2484	O_CB1CB2_CNX	(PX506,(QX1410,QG4232),JU2484)	PX506,QX1410,QG4232,JU2484	quartet_08
JU2484	O_CB1CNX_CB2	(PX506,(QX1410,JU2484),QG4232)	PX506,QX1410,QG4232,JU2484	quartet_08
JU2484	O_CB2CNX_CB1	(PX506,(QG4232,JU2484),QX1410)	PX506,QX1410,QG4232,JU2484	quartet_08
JU2617	O_CB1CB2_CNX	(PX506,(QX1410,QG4232),JU2617)	PX506,QX1410,QG4232,JU2617	quartet_09
JU2617	O_CB1CNX_CB2	(PX506,(QX1410,JU2617),QG4232)	PX506,QX1410,QG4232,JU2617	quartet_09
