group	strain	isotype	isotype_ref_strain
0	AF16	AF16	AF16
0	ECA3738	AF16	AF16
0	PB420	AF16	AF16
1	BRC20069	BRC20069	BRC20069
2	BRC20073	BRC20073	BRC20073
3	BRC20075	BRC20075	BRC20075
4	BRC20076	BRC20390	BRC20390
4	BRC20086	BRC20390	BRC20390
4	BRC20247	BRC20390	BRC20390
4	BRC20390	BRC20390	BRC20390
4	BRC20408	BRC20390	BRC20390
4	BRC20462	BRC20390	BRC20390
4	NIC1629	BRC20390	BRC20390
4	NIC826	BRC20390	BRC20390
4	NIC876	BRC20390	BRC20390
4	NIC877	BRC20390	BRC20390
4	NIC884	BRC20390	BRC20390
5	BRC20077	BRC20077	BRC20077
6	BRC20081	BRC20081	BRC20081
7	BRC20085	BRC20085	BRC20085
8	BRC20088	BRC20088	BRC20088
9	BRC20089	BRC20089	BRC20089
10	BRC20090	BRC20090	BRC20090
11	BRC20092	BRC20092	BRC20092
12	BRC20093	BRC20093	BRC20093
13	BRC20094	BRC20094	BRC20094
14	BRC20095	BRC20095	BRC20095
15	BRC20096	BRC20096	BRC20096
16	BRC20098	BRC20098	BRC20098
17	BRC20099	BRC20099	BRC20099
18	BRC20100	BRC20100	BRC20100
19	BRC20102	BRC20102	BRC20102
20	BRC20103	BRC20103	BRC20103
21	BRC20105	BRC20105	BRC20105
22	BRC20107	BRC20107	BRC20107
23	BRC20115	BRC20115	BRC20115
23	BRC20540	BRC20115	BRC20115
24	BRC20119	BRC20119	BRC20119
25	BRC20120	NIC815	NIC815
25	NIC808	NIC815	NIC815
25	NIC809	NIC815	NIC815
25	NIC812	NIC815	NIC815
25	NIC813	NIC815	NIC815
25	NIC815	NIC815	NIC815
25	NIC820	NIC815	NIC815
25	NIC839	NIC815	NIC815
25	NIC850	NIC815	NIC815
25	NIC890	NIC815	NIC815
26	BRC20121	NIC802	NIC802
26	BRC20255	NIC802	NIC802
26	BRC20345	NIC802	NIC802
26	NIC802	NIC802	NIC802
27	BRC20122	BRC20238	BRC20238
27	BRC20236	BRC20238	BRC20238
27	BRC20237	BRC20238	BRC20238
27	BRC20238	BRC20238	BRC20238
27	NIC879	BRC20238	BRC20238
28	BRC20123	NIC805	NIC805
28	NIC805	NIC805	NIC805
28	NIC806	NIC805	NIC805
29	BRC20224	BRC20543	BRC20543
29	BRC20543	BRC20543	BRC20543
29	NIC804	BRC20543	BRC20543
29	NIC807	BRC20543	BRC20543
29	NIC810	BRC20543	BRC20543
30	BRC20228	BRC20228	BRC20228
30	ED3036	BRC20228	BRC20228
31	BRC20229	BRC20229	BRC20229
32	BRC20230	BRC20230	BRC20230
33	BRC20232	BRC20232	BRC20232
33	BRC20254	BRC20232	BRC20232
34	BRC20234	BRC20241	BRC20241
34	BRC20241	BRC20241	BRC20241
35	BRC20239	BRC20239	BRC20239
36	BRC20242	BRC20242	BRC20242
37	BRC20244	BRC20244	BRC20244
38	BRC20246	BRC20246	BRC20246
38	BRC20256	BRC20246	BRC20246
39	BRC20257	BRC20257	BRC20257
40	BRC20260	BRC20260	BRC20260
41	BRC20269	BRC20331	BRC20331
41	BRC20331	BRC20331	BRC20331
42	BRC20270	BRC20270	BRC20270
43	BRC20272	BRC20272	BRC20272
44	BRC20289	BRC20289	BRC20289
45	BRC20290	BRC20290	BRC20290
46	BRC20294	BRC20294	BRC20294
46	BRC20295	BRC20294	BRC20294
47	BRC20299	BRC20320	BRC20320
47	BRC20320	BRC20320	BRC20320
48	BRC20308	BRC20308	BRC20308
49	BRC20309	BRC20309	BRC20309
50	BRC20310	BRC20311	BRC20311
50	BRC20311	BRC20311	BRC20311
51	BRC20312	BRC20312	BRC20312
52	BRC20315	BRC20315	BRC20315
53	BRC20324	BRC20324	BRC20324
54	BRC20333	BRC20333	BRC20333
55	BRC20334	BRC20334	BRC20334
56	BRC20339	BRC20339	BRC20339
57	BRC20341	BRC20341	BRC20341
58	BRC20342	BRC20343	BRC20343
58	BRC20343	BRC20343	BRC20343
59	BRC20346	BRC20346	BRC20346
60	BRC20347	BRC20347	BRC20347
61	BRC20348	BRC20348	BRC20348
62	BRC20353	BRC20353	BRC20353
63	BRC20354	BRC20361	BRC20361
63	BRC20355	BRC20361	BRC20361
63	BRC20356	BRC20361	BRC20361
63	BRC20361	BRC20361	BRC20361
64	BRC20360	BRC20360	BRC20360
65	BRC20362	BRC20362	BRC20362
66	BRC20366	BRC20366	BRC20366
67	BRC20367	BRC20367	BRC20367
68	BRC20369	BRC20369	BRC20369
69	BRC20370	BRC20370	BRC20370
70	BRC20388	BRC20388	BRC20388
71	BRC20401	BRC20401	BRC20401
72	BRC20463	BRC20463	BRC20463
73	BRC20492	BRC20492	BRC20492
74	BRC20498	BRC20498	BRC20498
74	JU4099	BRC20498	BRC20498
75	BRC20499	BRC20499	BRC20499
75	BRC20500	BRC20499	BRC20499
76	BRC20501	BRC20501	BRC20501
77	BRC20502	BRC20502	BRC20502
78	BRC20503	BRC20503	BRC20503
79	BRC20519	BRC20519	BRC20519
80	BRC20520	BRC20520	BRC20520
